,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
T4 Eastern Suburbs and Illawarra Line,Employee,"42,820","49,142","49,010","47,159","52,140","48,858","43,330","46,874","53,985","43,683","53,829","49,268","49,124","51,665","46,851","47,509","49,219","44,061","41,188","44,172","47,796","45,825","53,347","47,601","49,548","51,343","47,472","52,703","55,176","46,505","47,516","51,297","55,439","49,969"
T4 Eastern Suburbs and Illawarra Line,Free Travel,"4,739","6,446","6,427","6,084","6,650","5,877","5,248","5,895","6,779","5,561","6,716","6,321","6,235","6,929","5,711","5,893","6,310","5,565","5,181","5,556","5,929","5,942","6,725","5,799","6,594","6,859","6,273","7,375","7,662","5,915","6,155","6,692","7,128","6,226"
T4 Eastern Suburbs and Illawarra Line,School Student,"72,369","171,232","124,366","115,269","152,614","62,428","10,495","155,265","182,612","63,008","185,315","152,021","79,706","176,439","117,224","115,381","146,245","55,404","12,237","153,184","161,879","67,841","186,156","154,573","77,247","179,613","155,625","99,384","168,429","74,772","13,622","176,732","190,185","97,609"
T4 Eastern Suburbs and Illawarra Line,Senior/Pensioner,"425,179","478,079","470,868","464,795","508,918","485,480","426,432","445,371","506,606","449,173","505,792","468,581","471,775","498,905","475,199","491,792","502,185","485,194","447,643","468,853","486,162","466,364","520,894","467,958","486,953","506,312","468,524","505,534","523,421","468,813","458,011","483,951","499,687","461,431"
T4 Eastern Suburbs and Illawarra Line,Sgl Trip Rail Adult,"9,115","38,489","40,215","39,610","44,367","51,040","42,179","38,877","44,281","38,670","35,669","36,823","40,092","43,164","41,994","46,665","47,497","54,181","45,404","43,880","45,737","40,394","41,472","40,228","37,817","38,567","36,260","41,880","43,350","38,917","34,427","29,590","33,018","27,432"
T4 Eastern Suburbs and Illawarra Line,Sgl Trip Rail Child/Youth,"2,525","7,702","10,108","9,427","9,007","14,520","13,180","7,605","9,184","12,213","8,361","9,309","13,343","10,468","12,098","11,450","9,596","15,353","14,325","9,461","10,067","13,179","9,605","10,479","12,817","9,445","9,298","11,290","9,374","11,600","12,410","6,887","7,871","9,711"
T5 Cumberland Line,Adult,"335,951","372,709","358,049","349,051","362,326","322,395","306,808","333,810","393,522","329,044","401,137","377,855","350,467","417,174","376,426","407,891","413,545","403,279","355,946","407,412","451,455","504,958","480,176","470,595","484,141","520,653","480,011","513,278","475,774","507,801","443,304","424,774","539,652","470,819"
T5 Cumberland Line,Child/Youth,"13,530","12,060","14,349","15,450","13,615","19,870","21,600","12,905","14,727","19,783","12,476","15,732","19,117","13,157","17,306","17,954","15,538","24,702","22,857","15,150","17,926","26,412","14,284","18,125","23,153","16,205","17,408","20,820","16,114","29,006","26,971","14,641","19,212","23,387"
T5 Cumberland Line,Concession,"43,237","52,604","41,002","39,062","30,756","23,573","21,631","28,428","58,477","41,131","54,344","36,720","31,190","58,907","41,992","45,398","34,800","29,105","23,981","31,409","60,797","61,181","60,352","43,370","39,351","66,978","50,203","51,177","35,882","33,746","27,272","33,942","68,148","54,090"
T5 Cumberland Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,"4,862","5,489","5,599","7,325","7,402"
T5 Cumberland Line,Employee,"2,743","3,250","3,264","2,972","3,369","2,790","2,525","3,060","3,674","2,737","3,521","3,224","2,744","3,537","2,863","3,027","3,199","2,911","2,380","2,944","3,180","3,748","3,560","3,416","3,377","3,381","3,036","3,293","3,224","3,895","2,863","3,051","3,800","3,375"
T5 Cumberland Line,Free Travel,98,129,132,131,137,108,84,118,140,112,146,119,107,114,93,89,85,80,75,95,107,143,118,107,124,135,92,141,133,196,97,120,139,128
T5 Cumberland Line,School Student,"7,556","17,868","13,163","11,856","15,602","6,410",974,"15,614","19,568","6,739","20,284","17,560","7,908","20,696","12,830","13,824","17,427","7,838","1,159","19,036","20,946","11,035","22,838","20,504","10,990","23,924","20,349","12,855","19,449","12,586","1,414","20,129","25,279","12,866"
T5 Cumberland Line,Senior/Pensioner,"47,463","53,395","52,382","53,139","54,441","51,193","47,426","47,763","54,726","49,655","54,834","52,179","48,575","54,916","50,409","55,307","54,586","54,096","46,803","50,868","55,850","63,756","56,799","56,519","57,335","61,663","58,067","60,862","56,491","69,332","56,101","52,224","65,672","59,887"
T5 Cumberland Line,Sgl Trip Rail Adult,324,"2,261","2,136","2,151","2,196","2,752","2,169","1,856","2,127","2,019","1,751","1,962","1,982","1,991","2,058","2,238","2,103","2,542","1,653","1,596","1,928","2,060","1,612","1,748","1,325","1,490","1,422","1,557","1,508","2,305","1,342","1,102","1,471","1,338"
T5 Cumberland Line,Sgl Trip Rail Child/Youth,84,450,581,522,399,770,719,344,432,601,335,459,710,487,559,572,437,718,528,330,384,705,313,402,443,317,306,337,253,622,417,183,276,455
T6 Carlingford Line,Adult,"31,864","40,123","35,855","33,920","36,327","30,726","28,169","31,519","39,298","29,914","38,490","35,694","35,593","39,899","36,152","36,359","38,643","31,821","27,240","31,700","36,609","31,084","37,686","33,170","34,899","38,899","36,493","37,446","38,178","30,398","30,095","32,674","39,624","34,431"
T6 Carlingford Line,Child/Youth,790,"1,602",886,976,800,"1,038","1,043",947,"1,149","1,000",612,914,"1,260","1,311","1,002","1,014",927,"1,315","1,292",941,"1,202","1,177",780,718,"1,139",980,944,"1,149",928,"1,236","1,451",964,"1,113","1,278"
